"識別碼","filename","unz","imbiau"
478,"blwr00477","關","guinn1"
479,"blwr00478","嚇","hiannh7"
480,"blwr00479","輯","cip7"
481,"blwr00480","瞇","vui1"
482,"blwr00481","腦","nor4"
483,"blwr00482","腳","giorh7"
484,"blwr00483","塌","tap7"
485,"blwr00484","飯","buinn2"
486,"blwr00485","喀","kennh7"
487,"blwr00486","莢","ngueh7"
488,"blwr00487","舐","zuinn2"
489,"blwr00488","挖","uih7"
490,"blwr00489","廿","riap6"
491,"blwr00490","tit","tit7"
492,"blwr00491","duah","duah7"
493,"blwr00492","dauh","dauh7"
494,"blwr00493","釋迦牟尼佛","sik7_ga1_mo5_ni5_hut6"
495,"blwr00494","翻一下仔身","huan1_zit6_e2_a4_sin1"
496,"blwr00495","禮失求諸野","le4_sit7_giu5_zu1_ia4"
497,"blwr00496","濟牛踏無糞","ze2_qu5_da2_vor5_bun3"
498,"blwr00497","輸人m輸陣","su1_lang5_m2_su1_din2"
499,"blwr00498","縣市警察局","guan2_ci2_ging4_cat7_giok6"
500,"blwr00499","養護工程處","iong4_ho2_gang1_ding5_cu4"
501,"blwr00500","澎湖縣政府","penn5_o5_guan2_zing3_hu4"
502,"blwr00501","搬ve得轉來","buann1_ve2_dit7_dng4_lai5"
503,"blwr00502","開始veh講起","kai1_si4_veh7_gong4_ki4"
504,"blwr00503","勞動基準法","lor5_dong2_gi1_zun4_huat7"
505,"blwr00504","國際消保組","gok7_ze3_siau1_bor4_zo1"
506,"blwr00505","酒醉心頭定","ziu4_zui3_sim1_tau5_diann2"
507,"blwr00506","真有紀念性","zin1_u2_gi3_liam2_sing3"
508,"blwr00507","倚天屠龍記","i4_ten1_do5_liong5_gi3"
509,"blwr00508","皇民化運動","hong5_vin5_hua3_un2_dong2"
510,"blwr00509","咱veh出頭天","lan4_veh7_cut7_tau5_tinn1"
511,"blwr00510","南台灣之聲","lam5_dai5_uan5_zi1_siann1"
512,"blwr00511","狗deh吠火車","gau4_deh7_bui2_hue4_cia1"
513,"blwr00512","性命共同體","senn3_mia2_giong2_dong5_te4"
514,"blwr00513","名利權全收","ving5_li2_kuan5_zuan5_siu1"
515,"blwr00514","先開一個頭","sing1_kui1_zit6_e5_tau5"
516,"blwr00515","四十外年前","si3_zap6_qua2_ni5_zing5"
517,"blwr00516","台語寫作班","dai5_qi4_sia4_zok7_ban1"
518,"blwr00517","文教基金會","vun5_gau3_gi1_gim1_hue2"
519,"blwr00518","五十分鐘久","qo2_zap6_hun1_zing1_gu4"
520,"blwr00519","大眾運輸業","dai2_ziong3_un2_su1_qiap6"
521,"blwr00520","大沙文主義","dua2_sua1_vun5_zu4_qi2"
522,"blwr00521","上第一重要","siong2_de2_it7_diong2_iau3"
523,"blwr00522","三七二十一","sann1_cit7_ri2_zap6_it7"
524,"blwr00523","十八般武藝","zap6_beh7_buann1_vu4_qe2"
525,"blwr00524","二重疏洪道","ri2_ding5_so1_hong5_dor2"
526,"blwr00525","二千一百萬","nng2_cing1_zit6_bah7_van2"
527,"blwr00526","二二八事件","ri2_ri2_bat7_su2_giann2"
528,"blwr00527","一二十年前","it7_qi2_zap6_ni5_zing5"
529,"blwr00528","siunn過好食睏","siunn1_gue3_hor4_ziah6_kun3"
530,"blwr00529","mai離開主題","mai3_li5_kui1_zu4_de5"
531,"blwr00530","ka免費電話","ka3_ven4_hui3_den2_ue2"
532,"blwr00531","ga亂摻落去","ga2_luan2_cam1_lorh6_ki3"
533,"blwr00532","dorh捧面桶水","dorh6_pang5_vin2_tang4_zui4"
534,"blwr00533","cun一點仔錢","cun1_zit6_diam4_a4_zinn5"
535,"blwr00534","憨憨呆痴","qong2_qong2_dai1_ci1"
536,"blwr00535","触來触去","dak7_lai5_dak7_ki3"
537,"blwr00536","啥麼程度","siann4_mih7_ting5_do2"
538,"blwr00537","觀音媽廟","guan1_im1_ma4_vior2"
539,"blwr00538","觀星望斗","guan1_cenn1_vang2_dau4"
540,"blwr00539","鹽酸仔草","iam5_sng1_a4_cau4"
541,"blwr00540","驚破膽去","giann1_pua3_dann4_ki3"
542,"blwr00541","變鬼變怪","binn3_gui4_binn3_guai3"
543,"blwr00542","竊盜案件","cet7_dor2_an3_giann2"
544,"blwr00543","聽會清楚","tiann1_e2_cing1_cor4"
545,"blwr00544","聽眾朋友","tiann1_ziong3_bing5_iu4"
546,"blwr00545","彎彎曲曲","uan1_uan1_kiau1_kiau1"
547,"blwr00546","鶴佬話區","horh6_lor4_ue2_ku1"
548,"blwr00547","鹹菜米仔","giam5_cai3_vi4_a4"
549,"blwr00548","藝術創作","qe2_sut6_cong3_zok7"
550,"blwr00549","雞卵仁色","ge1_nng2_rin5_sik7"
551,"blwr00550","離鄉背井","li2_hiong1_bue2_zenn4"
552,"blwr00551","禮拜暗仔","le4_bai3_am3_a4"
553,"blwr00552","禮拜日仔","le4_bai3_rit6_a4"
554,"blwr00553","點外鐘久","diam4_qua2_zing1_gu4"
555,"blwr00554","選務單位","suan4_vu2_dan1_ui2"
556,"blwr00555","親成朋友","cin1_ziann5_bing5_iu4"
557,"blwr00556","踏入社會","da2_rip6_sia2_hue2"
558,"blwr00557","盤古開天","puan5_go4_kai1_ten1"
559,"blwr00558","敵我意識","dik6_qua4_i3_sit7"
560,"blwr00559","德國麻疹","dik7_gok7_mua5_zin4"
561,"blwr00560","嘴層皮甜","cui3_ding5_pue5_dinn1"
562,"blwr00561","遣送回國","ken4_sang3_hue5_gok7"
563,"blwr00562","語音辨識","qi4_im1_ben2_sik7"
564,"blwr00563","緊腳緊手","gin4_ka1_gin4_ciu4"
565,"blwr00564","福澤諭吉","hok7_dik6_ru5_get7"
566,"blwr00565","福建客話","hok7_gen3_keh7_ue2"
567,"blwr00566","監察委員","gam3_cat7_ui4_uan5"
568,"blwr00567","團體活動","tuan5_te4_uah6_dang2"
569,"blwr00568","電話簿仔","den2_ue2_po2_a4"
570,"blwr00569","違章建築","ui5_ziong1_gen3_diok6"
571,"blwr00570","腳酸手軟","ka1_sng1_ciu4_nng4"
572,"blwr00571","愈讀愈ceh","lu4_tak6_lu4_ceh7"
573,"blwr00572","愈濟愈好","ru4_ze3_ru4_hor4"
574,"blwr00573","嫌東嫌西","hiam5_dang1_hiam5_sai1"
575,"blwr00574","傳播媒體","tuan5_bor3_mui5_te4"
576,"blwr00575","傳統市場","cuan5_tong4_ci2_diunn5"
577,"blwr00576","買會著票","ve4_e2_diorh6_pior3"
578,"blwr00577","睏gah足飽","kun3_gah7_ziok7_ba4"
579,"blwr00578","無緣無故","vor5_en5_vor5_go3"
580,"blwr00579","無影無跡","vor5_iann4_vor5_ziah7"
581,"blwr00580","無可奈何","vu5_kor4_nai2_hor5"
582,"blwr00581","無天無日","vor5_tinn1_vor5_rit6"
583,"blwr00582","棉紗布衫","mi5_sa1_bo3_sann1"
584,"blwr00583","喜怒哀樂","hi4_no2_ai1_lok6"
585,"blwr00584","喝解dorh解","huah7_gai4_dorh6_gai4"
586,"blwr00585","最高學府","zue3_gor1_hak6_hu4"
587,"blwr00586","雪山山脈","suat7_san1_suann1_meh6"
588,"blwr00587","野外活動","ia4_qua2_uah6_dang2"
589,"blwr00588","逐下早仔","dak6_e2_zai4_a4"
590,"blwr00589","莫名其妙","vok6_ving5_gi5_miau2"
591,"blwr00590","第十二名","de2_zap6_ri2_mia5"
592,"blwr00591","移花接木","i5_hua1_ziap7_vok6"
593,"blwr00592","推展協會","tui1_den4_hiap6_hue2"
594,"blwr00593","動腦動嘴","dang2_nau4_dang2_cui3"
595,"blwr00594","做做了後","zor3_zor3_liau4_au2"
596,"blwr00595","高速鐵路","gor1_sok7_tih7_lo2"
597,"blwr00596","高深莫測","gor1_cim1_vok6_cik7"
598,"blwr00597","烏頭仔車","o1_tau5_a4_cia1"
599,"blwr00598","烏sen烏sen","o1_sen2_o1_sen2"
600,"blwr00599","海陸變遷","hai4_liok6_ben3_cen1"
601,"blwr00600","時時刻刻","si5_si5_kik7_kik7"
602,"blwr00601","厝邊隔壁","cu3_binn1_geh7_biah7"
603,"blwr00602","冤家相拍","uan1_ge1_sior1_pah7"
604,"blwr00603","倒過來hia","dor3_gue3_lai5_hia1"
605,"blwr00604","借刀殺人","ziorh7_dor1_sat7_qin5"
606,"blwr00605","食食沾沾","sit6_sit6_zam1_zam1"
607,"blwr00606","食m知食","ziah6_m2_zai1_ziah6"
608,"blwr00607","音韻系統","im1_un2_he2_tong4"
609,"blwr00608","重重疊疊","ding5_ding5_tah6_tah6"
610,"blwr00609","紅葉少棒","ang5_hiorh6_siau3_bang2"
611,"blwr00610","流鼻孔血","lau5_pinn2_kang1_hueh7"
612,"blwr00611","流行病學","liu5_hing5_benn2_orh6"
613,"blwr00612","按呢來講","an4_ne1_lai5_gong4"
614,"blwr00613","後顧之憂","hior2_go3_zi1_iu1"
615,"blwr00614","長榮航空","diang5_ing5_hang5_kong1"
616,"blwr00615","虎臂熊腰","ho4_bi3_him5_ior1"
617,"blwr00616","直直ga燃","dit6_dit6_ga2_hiann5"
618,"blwr00617","東倒西歪","dang1_dor3_sai1_uai1"
619,"blwr00618","所感覺著","so4_gam4_gak7_diorh6"
620,"blwr00619","官官相讓","guann1_guann1_sior1_niu2"
621,"blwr00620","其他所在","gi5_tann1_so4_zai2"
622,"blwr00621","兩岸會談","liang4_an3_hue2_dam5"
623,"blwr00622","來偏袒著","lai5_pen1_tan4_diorh6"
624,"blwr00623","巡巡看看","sun5_sun5_kuann3_kuann3"
625,"blwr00624","走來走去","zau4_lai5_zau4_ki3"
626,"blwr00625","走ve去ｅ","zau4_ve2_ki3_e5"
627,"blwr00626","見仁見智","gen3_rin5_gen3_di3"
628,"blwr00627","沉沉浮浮","dim5_dim5_pu5_pu5"
629,"blwr00628","每一條歌","mui4_zit6_diau5_gua1"
630,"blwr00629","吵來吵去","ca4_lai5_ca4_ki3"
631,"blwr00630","有e無e","u2_e5_vor5_e5"
632,"blwr00631","扣繳憑單","kau3_giau4_bin5_duann1"
633,"blwr00632","年輕貌美","len5_kin1_mau2_vi4"
634,"blwr00633","安怎樣仔","an1_zuann4_iunn2_a4"
635,"blwr00634","地方派係","de2_hng1_pai3_he2"
636,"blwr00635","合情合理","hap6_zing5_hap6_li4"
637,"blwr00636","全軍覆滅","zuan5_gun1_hok7_vet6"
638,"blwr00637","目睭金金","vak6_ziu1_gim1_gim1"
639,"blwr00638","平方公尺","bing5_hong1_gong1_ciorh7"
640,"blwr00639","另闢戰場","ling2_piah7_zen3_diunn5"
641,"blwr00640","古losut古","go4_lo1_sut7_go4"
642,"blwr00641","卡歹聽leh","kah7_painn4_tiann1_leh7"
643,"blwr00642","加加減減","ge1_ge1_giam4_giam4"
644,"blwr00643","以暴制暴","i4_bok6_ze3_bok6"
645,"blwr00644","世外桃源","se3_qua2_tor5_quan5"
646,"blwr00645","歹銅舊錫","painn4_dang5_gu2_siah7"
647,"blwr00646","引cua人民","in4_cua2_lin5_vin5"
648,"blwr00647","六月初一","lak6_queh6_ce1_it7"
649,"blwr00648","不倫不類","but7_lun5_but7_lui2"
650,"blwr00649","三軍總院","sam1_gun1_zong4_inn2"
651,"blwr00650","三更半暝","sann1_ginn1_buann3_mi5"
652,"blwr00651","三更半暝","sann1_genn1_buann3_me5"
653,"blwr00652","三十外個","sann1_zap6_qua2_e5"
654,"blwr00653","人掠厝拆","lang5_liah6_cu3_tiah7"
655,"blwr00654","二郭一莊","nng2_gueh7_zit6_zng1"
656,"blwr00655","七早八早","cit7_za4_beh7_za4"
657,"blwr00656","seh來seh去","seh6_lai5_seh6_ki3"
658,"blwr00657","nua衫仔褲","nua4_sann1_a4_ko3"
659,"blwr00658","na來na濟","na2_lai5_na2_ze2"
660,"blwr00659","long門ga叫","long2_mng5_ga2_gior3"
661,"blwr00660","kia做一爿","kia2_zor3_zit6_bing5"
662,"blwr00661","iau閣知影","iau4_gorh7_zai1_iann4"
663,"blwr00662","hann一大步","hann1_zit6_dua2_bo2"
664,"blwr00663","dudua好","du1_du1_a2_hor4"
665,"blwr00664","ang嬰仔囝","ang5_enn1_a4_giann4"
666,"blwr00665","87%","beh7_zap7_cit7_pa1"
667,"blwr00666","檨仔核","suainn2_a4_hut6"
668,"blwr00667","蠶桑業","tam5_song1_qiap6"
669,"blwr00668","驚一dior","giann1_zit6_dior1"
670,"blwr00669","顯像液","hen4_ciang2_ik6"
671,"blwr00670","讀ho完","tak6_ho2_uan5"
672,"blwr00671","響尾蛇","hiang4_vue4_zua5"
673,"blwr00672","蠟嘴雀","la2_cui3_ciok7"
674,"blwr00673","嚴密性","qiam5_vit6_sing3"
675,"blwr00674","勸學所","kng3_orh6_so4"
676,"blwr00675","關節炎","guan1_zat7_iam2"
677,"blwr00676","瓊林宴","king5_lim5_en3"
678,"blwr00677","曝日頭","pak6_rit6_tau5"
679,"blwr00678","鵝掌草","qor5_ziang4_cau4"
680,"blwr00679","鵝口瘡","qia5_kau4_cng1"
681,"blwr00680","魏無忌","qui2_vu5_gi2"
682,"blwr00681","題名錄","te5_mia5_lok6"
683,"blwr00682","雞母喂","ge1_vu4_ueh7"
684,"blwr00683","雙十節","siang1_sip6_zet7"
685,"blwr00684","軀幹骨","ku1_gan3_gut7"
686,"blwr00685","薩滿教","sat7_vuan4_gau3"
687,"blwr00686","薩彥嶺","sat7_qan2_nia4"
688,"blwr00687","薩拉森","sat7_la1_som1"
689,"blwr00688","殯儀館","giang1_qi5_guan4"
690,"blwr00689","斷頭臺","duan2_tior5_dai5"
691,"blwr00690","闊茫茫","kuah7_vang5_vang5"
692,"blwr00691","癌細胞","qam5_se3_bau1"
693,"blwr00692","龍眼核","ling5_qing4_hut6"
694,"blwr00693","頭蓋腔","tau5_gua3_kiunn1"
695,"blwr00694","靜悄悄","zing2_ciau1_ciau1"
696,"blwr00695","輸尿管","su1_lior2_gng4"
697,"blwr00696","輸入稅","su1_rip6_sue3"
698,"blwr00697","賴索托","lua2_sor4_tok7"
699,"blwr00698","褪剝裼","tng3_bak7_teh7"
700,"blwr00699","糖尿病","tng5_rior2_binn2"
701,"blwr00700","糖尿病","tng5_qior2_benn2"
702,"blwr00701","獨裁者","dok6_cai5_zia4"
703,"blwr00702","橫壓力","huainn5_ap7_lik6"
704,"blwr00703","擒拿術","kim5_na4_sut6"
705,"blwr00704","駟過隙","dor5_gue3_kiah7"
706,"blwr00705","鄭明月","denn2_ming5_qeh6"
707,"blwr00706","豬殃殃","di1_iang1_iang1"
708,"blwr00707","請人客","ciann4_lang5_keh7"
709,"blwr00708","線due針","suann3_due3_ziam1"
710,"blwr00709","稻熱病","diu2_ret6_benn2"
711,"blwr00710","熱熱熱","let6_let6_let6"
712,"blwr00711","潑婆娘","puat7_bor5_niu5"
713,"blwr00712","撥落來","buah7_lorh6_lai5"
714,"blwr00713","儉儉a","kiam2_kiam2_a2"
715,"blwr00714","辣椒醬","luah6_siok6_ziunn3"
716,"blwr00715","說服力","sueh7_hok6_lik6"
717,"blwr00716","蒲葵扇","po5_kue5_sinn3"
718,"blwr00717","蒙汗藥","vong5_han3_iorh6"
719,"blwr00718","蓄積物","hiok7_zik7_vut6"
720,"blwr00719","碳酸鈉","tuann3_sng1_lap6"
721,"blwr00720","撇掃帚","buat7_sau3_ciu4"
722,"blwr00721","截了了","zah6_liau4_liau4"
723,"blwr00722","幔棕簑","mua1_zang1_sui1"
724,"blwr00723","對照表","dui3_ziau3_bior4"
725,"blwr00724","孵雞仔","bu2_ge1_a4"
726,"blwr00725","葡萄牙","por5_tor5_qa5"
727,"blwr00726","葉下紅","iap6_ha2_ang5"
728,"blwr00727","腦膜炎","nau4_moh6_iam2"
729,"blwr00728","腦充血","nau4_ciong1_het7"
730,"blwr00729","腸仔sionn","dng5_a4_sionn5"
731,"blwr00730","萬人坑","van2_qin5_kenn1"
732,"blwr00731","煞煞去","suah7_suah7_ki3"
733,"blwr00732","煞m去","suat7_m2_ki3"
734,"blwr00733","溫柔鄉","un1_riu5_hiong1"
735,"blwr00734","溶解熱","qiong5_gai4_qet6"
736,"blwr00735","楚霸王","co4_ba3_ong5"
737,"blwr00736","楚懷王","cor4_huai5_ong5"
738,"blwr00737","愛抹a","ai3_vuah7_a2"
739,"blwr00738","黃鶴樓","ng5_horh6_lau5"
740,"blwr00739","飯粒粒","bng2_liap6_liap6"
741,"blwr00740","集團畢","zip6_tuan5_bit7"
742,"blwr00741","雅恩德","nga4_un1_dik7"
743,"blwr00742","間歇熱","gan1_hiorh7_ruah6"
744,"blwr00743","貿貿然","vo2_vo2_ren5"
745,"blwr00744","結做伙","gat7_zor3_hue4"
746,"blwr00745","絞立決","ga4_lip6_guat7"
747,"blwr00746","硬鴨霸","nge2_ah7_ba3"
748,"blwr00747","番仔薑","huan1_a4_giunn1"
749,"blwr00748","無礙著","vor5_qai2_diorh6"
750,"blwr00749","無礙著","vor5_ngai2_diorh6"
751,"blwr00750","無密關","vor5_vat6_guainn1"
752,"blwr00751","無人敢","vor5_lang5_gann4"
753,"blwr00752","渴盤陀","kat7_buan5_dor5"
754,"blwr00753","朝天闕","diau5_ten1_kuat7"
755,"blwr00754","換帖e","uann2_tiap7_e5"
756,"blwr00755","插斷去","cah7_dng2_ki3"
757,"blwr00756","喇叭花","lah7_bah7_hue1"
758,"blwr00757","鳥瞰圖","niau4_kam3_do5"
759,"blwr00758","軟simsim","lng4_sim4_sim4"
760,"blwr00759","貧民窟","bin5_vin5_kut7"
761,"blwr00760","蚶殼草","ham1_kak6_cau4"
762,"blwr00761","處女作","cu3_lu4_zorh7"
763,"blwr00762","脫卸著","tuat7_sia3_diorh6"
764,"blwr00763","票面值","pior3_vin2_dat6"
765,"blwr00764","牽涉著","kan1_siap6_diorh6"
766,"blwr00765","添油香","tiam1_iu5_hiunn1"
767,"blwr00766","添油香","tiam1_iu5_hionn1"
768,"blwr00767","參像講","can1_ciunn2_gong4"
769,"blwr00768","動物園","dong2_vut6_huinn5"
770,"blwr00769","做年節","zor3_ni5_zeh7"
771,"blwr00770","高加索","gor1_ga1_sorh7"
772,"blwr00771","退休金","tue3_hiu1_gim1"
773,"blwr00772","臭腳siorh","cau3_ka1_siorh6"
774,"blwr00773","臭屁調","cau3_pui3_diau3"
775,"blwr00774","臭iaha","cau3_iah7_a1"
776,"blwr00775","笑哈哈","cior3_ha1_ha1"
777,"blwr00776","真快活","zin1_kuinn3_uah6"
778,"blwr00777","畜牧學","tik7_vok6_hak6"
779,"blwr00778","烏烏去","o1_o1_ki3"
780,"blwr00779","消耗品","siau1_hau3_pin4"
781,"blwr00780","迫擊砲","bik7_gik6_pau3"
782,"blwr00781","茅仔草","hm5_a4_cau4"
783,"blwr00782","突尼斯","dut6_ni5_su1"
784,"blwr00783","活putput","uah6_put6_put6"
785,"blwr00784","剃平頭","ti3_benn5_tau5"
786,"blwr00785","阿蘭若","a1_lan5_liak6"
787,"blwr00786","邱匹特","ku1_pit7_dik6"
788,"blwr00787","表姊妹","biau4_zi4_muai2"
789,"blwr00788","初初來","co1_co1_lai5"
790,"blwr00789","知苦啊","zainn1_ko4_a1"
791,"blwr00790","河跡湖","hor5_zik7_o5"
792,"blwr00791","拖磨著","tua1_vua5_diorh6"
793,"blwr00792","拍契約","pah7_ke3_iok7"
794,"blwr00793","所演唱","so4_en4_ciunn3"
795,"blwr00794","或然率","hik6_qen5_lut6"
796,"blwr00795","和平鴿","hor5_bing5_gap7"
797,"blwr00796","刺落去","cak6_lorh6_ki3"
798,"blwr00797","來回答","lai5_hue5_dap7"
799,"blwr00798","阮太太","qun4_tai3_tai3"
800,"blwr00799","足鬱卒","zok7_ut7_zut7"
801,"blwr00800","足可惡","zok7_kor4_onn3"
802,"blwr00801","赤土崎","ciah7_to5_gia2"
803,"blwr00802","沒分曉","vuat6_hun1_hiau4"
804,"blwr00803","抓扒仔","riau3_be5_a4"
805,"blwr00804","吸倚來","kip7_ua4_lai5"
806,"blwr00805","吹吹過","cue1_cue1_gue3"
807,"blwr00806","西王母","se1_ong5_vior4"
808,"blwr00807","老kokkok","lau2_kok7_kok7"
809,"blwr00808","羊癲瘋","ionn5_den1_hong1"
810,"blwr00809","百花王","bah7_ong5_hue1"
811,"blwr00810","有夠qau","u2_gau3_qau5"
812,"blwr00811","合時機","hah6_si5_gi1"
813,"blwr00812","光閃閃","gng1_siam4_siam4"
814,"blwr00813","皮皮a","pi5_pi5_a2"
815,"blwr00814","白siaksiak","beh6_siak7_siak7"
816,"blwr00815","甘蔗porh","gam1_zia3_porh7"
817,"blwr00816","日曜日","qit6_iau2_qit6"
818,"blwr00817","日曜日","lit6_iau2_lit6"
819,"blwr00818","小等呢","sior4_dan4_neh7"
820,"blwr00819","乞爐丹","kit7_lo5_dan1"
821,"blwr00820","三層肉","sam1_zan5_vah7"
822,"blwr00821","入場券","qip6_dionn5_guan3"
823,"blwr00822","一簇仔","zit6_cok7_a4"
824,"blwr00823","一撮毛","zit6_cop7_mo1"
825,"blwr00824","vih無路","vih7_vor5_lo2"
826,"blwr00825","ve睏lih","ve2_kun3_lih7"
827,"blwr00826","sapsapa","sap6_sap6_a1"
828,"blwr00827","sak落去","sak7_lorh6_ki3"
829,"blwr00828","pokpok跳","pok6_pok6_tiau3"
830,"blwr00829","piann入去","piann1_rip6_ki3"
831,"blwr00830","nqua轉去","ngua2_dng4_ki3"
832,"blwr00831","nihnih流","nih7_nih7_lau5"
833,"blwr00832","hit一日","hit7_zih7_rit6"
834,"blwr00833","hip相機","hip7_siong3_gi1"
835,"blwr00834","hiah濟錢","hiah7_ze2_zinn5"
836,"blwr00835","hainn頭仔","hainn3_tau5_a4"
837,"blwr00836","cuah做簽","cuah7_zor3_ciam1"
838,"blwr00837","cih電話","cih6_den2_ue2"
839,"blwr00838","biak腦筋","biak7_nau4_gin1"
840,"blwr00839","蔻丹","kior3_dan1"
841,"blwr00840","粿餡","gue4_ann2"
842,"blwr00841","芫荽","en5_suinn1"
843,"blwr00842","忤逆","ngo4_qik6"
844,"blwr00843","齷齪","ak7_zak7"
845,"blwr00844","攫取","giak6_cu4"
846,"blwr00845","襲爵","sip6_ziak7"
847,"blwr00846","齧缺","qet6_kih7"
848,"blwr00847","顧盼","go3_pan3"
849,"blwr00848","襪仔","vueh6_a4"
850,"blwr00849","蘭若","lan5_riak6"
851,"blwr00850","蘭若","lan5_qiak6"
852,"blwr00851","鹹糜","giam5_mue5"
853,"blwr00852","饒舌","qiau5_set6"
854,"blwr00853","飄飄","piau1_piau1"
855,"blwr00854","攘夷","qiang4_i5"
856,"blwr00855","藕色","ngau2_sik7"
857,"blwr00856","寵任","tiong4_rim2"
858,"blwr00857","邈邈","viau4_viau4"
859,"blwr00858","謬獎","viu2_ziong4"
860,"blwr00859","藏lue","cang3_lue3"
861,"blwr00860","斷掌","dng2_zionn4"
862,"blwr00861","鮮鮮","cinn1_cinn1"
863,"blwr00862","醜惡","tiu4_ok7"
864,"blwr00863","薄薄","borh6_borh6"
865,"blwr00864","擎槍","kinn5_ciunn1"
866,"blwr00865","應卯","ing3_vau4"
867,"blwr00866","嚇止","hat7_zi4"
868,"blwr00867","險惡","hiam4_ok7"
869,"blwr00868","謁舍","et7_sia3"
870,"blwr00869","遮護","ria1_ho2"
871,"blwr00870","遮舉","lia1_gi4"
872,"blwr00871","躺椅","tenn1_i4"
873,"blwr00872","踢被","tat7_pe2"
874,"blwr00873","賤妾","zen2_ciap7"
875,"blwr00874","磕牙","kap7_qe5"
876,"blwr00875","潑水","puah7_zui4"
877,"blwr00876","樂曲","qak6_kiok7"
878,"blwr00877","誤謬","ngo2_mio2"
879,"blwr00878","窩頓","or1_dun3"
880,"blwr00879","碧玉","pik7_qiok6"
881,"blwr00880","睿哲","rue2_det7"
882,"blwr00881","滿足","muan4_ziok7"
883,"blwr00882","榜額","bong4_qiah6"
884,"blwr00883","暢快","tiang3_kuai3"
885,"blwr00884","撤換","tet7_huann1"
886,"blwr00885","摘記","diah7_gi3"
887,"blwr00886","撇撇","pet7_pet7"
888,"blwr00887","嫩薑","zinn4_gionn1"
889,"blwr00888","奪搶","duat6_cionn4"
890,"blwr00889","跨越","kua3_uat6"
891,"blwr00890","補缺","bo4_gih7"
892,"blwr00891","睬伊","cap7_i2"
893,"blwr00892","準擬","zun4_ngi4"
894,"blwr00893","傳cuai","cuan5_cuai3"
895,"blwr00894","黃蝶","uinn5_diap6"
896,"blwr00895","跋涉","bueh6_siap6"
897,"blwr00896","評判","ping5_puann3"
898,"blwr00897","絕別","zuat6_bet6"
899,"blwr00898","無哦","vor5_oh7"
900,"blwr00899","無他","vor5_ta1"
901,"blwr00900","握手","at7_ciu4"
902,"blwr00901","喜躍","hi4_iak6"
903,"blwr00902","割讓","guah7_riang2"
904,"blwr00903","雀躍","ciak7_iok6"
905,"blwr00904","都邑","do1_ip7"
906,"blwr00905","豚耳","tun5_hinn2"
907,"blwr00906","敏豆","min4_dau2"
908,"blwr00907","接任","ziap7_qim2"
909,"blwr00908","屜仔","tuah7_a4"
910,"blwr00909","高腔","gor1_kiu1"
911,"blwr00910","衰弱","suai1_riok6"
912,"blwr00911","草笠","cau4_lueh6"
913,"blwr00912","茸茸","riong5_riong5"
914,"blwr00913","窄窄","eh6_eh6"
915,"blwr00914","浸潤","zim3_run2"
916,"blwr00915","挾菜","ngeh7_cai3"
917,"blwr00916","恐怕","kiong4_pann3"
918,"blwr00917","厝門","cu3_vng5"
919,"blwr00918","倉頡","cong1_ket7"
920,"blwr00919","流血","lau5_heh7"
921,"blwr00920","急奔","gip7_pun1"
922,"blwr00921","迎神","ngia5_sin5"
923,"blwr00922","花坩","hue1_kann1"
924,"blwr00923","放血","bang3_huih7"
925,"blwr00924","怯場","kiak7_diunn5"
926,"blwr00925","姑娘","go1_niunn5"
927,"blwr00926","貝葉","bue3_liorh6"
928,"blwr00927","扭力","qiu4_lat6"
929,"blwr00928","否否","honn4_honn4"
930,"blwr00929","卵生","ruan4_sing1"
931,"blwr00930","劫劫","giap7_giap7"
932,"blwr00931","老爹","lau2_dia1"
933,"blwr00932","年節","ni5_zueh7"
934,"blwr00933","外甥","que2_sing1"
935,"blwr00934","凸凸","tut6_tut6"
936,"blwr00935","冉冉","riam4_riam4"
937,"blwr00936","木屐","vak6_giah6"
938,"blwr00937","月琴","quat6_kim5"
939,"blwr00938","月建","qat6_gen3"
940,"blwr00939","巴士","va4_suh7"
941,"blwr00940","少少","zior4_zior4"
942,"blwr00941","天壤","ten1_rang4"
943,"blwr00942","切脈","cet7_vik6"
944,"blwr00943","六畜","liok6_tiok7"
945,"blwr00944","仍然","ring5_ren5"
946,"blwr00945","入學","rip6_orh6"
947,"blwr00946","vakkuh","vak7_kuh3"
948,"blwr00947","vaivai","vai4_vai4"
949,"blwr00948","sihnah","sih7_nah7"
950,"blwr00949","sannh人","sannh7_lang5"
951,"blwr00950","rua久","rua2_gu4"
952,"blwr00951","pong餅","pong3_biann4"
953,"blwr00952","kiorh恨","kiorh7_hin2"
954,"blwr00953","henn啦","henn3_la3"
955,"blwr00954","gauh過","gauh7_gue3"
956,"blwr00955","duh龜","duh7_gu1"
957,"blwr00956","diuh疼","diuh7_tiann3"
958,"blwr00957","dioh愛","dioh6_ai3"
959,"blwr00958","dihdah","dih7_dah7"
960,"blwr00959","buh芽","buh7_qe5"
961,"blwr00960","蠽","zuah6"
962,"blwr00961","鱷","qok6"
963,"blwr00962","讓","nio2"
964,"blwr00963","緝","cip7"
965,"blwr00964","瞌","kueh7"
966,"blwr00965","慼","cueh7"
967,"blwr00966","嶄","zann4"
968,"blwr00967","鉍","bih6"
969,"blwr00968","跡","riah7"
970,"blwr00969","歇","hennh7"
971,"blwr00970","楞","qang2"
972,"blwr00971","斟","tin5"
973,"blwr00972","彪","biu1"
