"識別碼","CHINESE","TAIWANESE","ForPA","TLPA"
4884,"不堪比擬","雞膏比豆醬","ge1-ger1-bi4-dau2-ziunn3","ke1-ko1-pi2-tau7-ciunn3"
4885,"不堪比擬","膦鳥比雞腿","lan2-ziau4-bi4-ge1-tui4","lan7-ciau2-pi2-ke1-thui2"
4886,"不堪造就","袂晟教得","bhe2-ciann5-ga3-dit7","be7-chiann5-ka3-tit4"
4887,"不堪造就","爛土袂糊得壁","nua2-to5-bhe2-go5-dit7-biah7","nua7-thoo5-be7-koo5-tit4-piah4"
4888,"不堪聞問","袂探聽得","bhe2-tam3-tiann1-dit7","be7-tham3-thiann1-tit4"
4889,"不寒而慄","扑凊","pah7-cin3","phah4-chin3"
4890,"不寒而慄","生冷起來","cinn1-ling4-ki4-lai5","chinn1-ling2-khi2-lai5"
4891,"不寒而慄","生凊","cenn1-cin3","chenn1-chin3"
4892,"不寒而慄","生凊起來","cenn1-cin3-ki4-lai5","chenn1-chin3-khi2-lai5"
4893,"不寒而慄","交懍恂","ga1-lun4-sun4","ka1-lun2-sun2"
4894,"不寒而慄","起畏寒","ki4-ui3-guann5","khi2-ui3-kuann5"
4895,"不就","毋著","m2-dierh6","m7-tioh8"
4896,"不提也罷","乞食茭苴落去","kit7-ziah6-ga1-zi3-lok6-ki3","khit4-ciah8-ka1-ci3-lok8-khi3"
4897,"不提也罷","講也無路用","gong4-ia2-bher5-lo2-iong2","kong2-ia7-bo5-loo7-iong7"
4898,"不提也罷","煞煞去","suah7-suah7-ki3","suah4-suah4-khi3"
4899,"不提也罷","mai3講卡清閒","mai3-gong4-kah7-cing1-ing5","mai3-kong2-khah4-ching1-ing5"
4900,"不提也罷","mai3講卡歸氣","mai3-gong4-kah7-gui1-ki3","mai3-kong2-khah4-kui1-khi3"
4901,"不敢居功","槽料夠","zer5-liau2-gau3","co5-liau7-kau3"
4902,"不敢居功","毋是司父ghau5","m2-si2-sai1-hu2-ghau5","m7-si7-sai1-hu7-gau5"
4903,"不敢垂涎","毋敢數想","m2-gann4-siau3-siunn2","m7-kann2-siau3-siunn7"
4904,"不敢垂涎","粗粗腹腸","co1-co1-bak7-dng5","choo1-choo1-pak4-tng5"
4905,"不敢垂涎","毋敢食人竹塹茯苓糕","m2-gann4-ziah6-lang5-dik7-cam3-hok6-ling5-ger1","m7-kann2-ciah8-lang5-tik4-cham3-hok8-ling5-ko1"
4906,"不敢垂涎","啥物命","siann3-mih6-mia2","siann3-mih8-mia7"
4907,"不敢垂涎","食佫竹塹餅","ziah6-gah7-dik7-cam3-biann4","ciah8-kah4-tik4-cham3-piann2"
4908,"不敢恭維","袂呵咾得","bhe2-er1-ler4-dit7","be7-o1-lo2-tit4"
4909,"不敢恭維","袂褒得","bhe2-ber1-dit7","be7-po1-tit4"
4910,"不敢高攀","竹仔箸毋敢挾人e5香菇肉","dik7-a4-di2-m2-gann4-ngeh7-lang5-e5-hiunn1-go1-bhah7","tik4-a2-ti7-m7-kann2-ngeh4-lang5-e5-hiunn1-koo1-bah4"
4911,"不敢高攀","雞屎藤毋敢拋桂花樹","ge1-sai4-din5-m2-gann4-pa1-gui3-hue1-ciu2","ke1-sai2-tin5-m7-kann2-pha1-kui3-hue1-chiu7"
4912,"不敢奢想","毋敢數想","m2-gann4-siau3-siunn2","m7-kann2-siau3-siunn7"
4913,"不敢當","不敢當","but7-gam4-dong1","put4-kam2-tong1"
4914,"不敢當","毋敢當","m2-gann4-dng1","m7-kann2-tng1"
4915,"不敢當","受袂起","siu2-bhe2-ki4","siu7-be7-khi2"
4916,"不敢當","豈敢","ki4-gam4","khi2-kam2"
4917,"不景氣","市草bhai4","ci2-cau4-bhai4","chi7-chau2-bai2"
4918,"不景氣","末","bhuat6","buat8"
4919,"不景氣","空氣bhai4","kang1-kui3-bhai4","khang1-khui3-bai2"
4920,"不景氣","時機末","si5-gi1-bhuat6","si5-ki1-buat8"
4921,"不景氣","時機竭","si5-gi1-get6","si5-ki1-kiat8"
4922,"不景氣","敗市","bai2-ci2","pai7-chi7"
4923,"不景氣","景氣bhai4","ging4-ki3-bhai4","king2-khi3-bai2"
4924,"不曾","毋捌","m2-bhat7","m7-bat4"
4925,"不曾吃過苦","毋捌艱苦慣勢","m2-bhat7-gan1-ko4-guan3-si3","m7-bat4-kan1-khoo2-kuan3-si3"
4926,"不期而遇","碰著","pong3-dierh6","phong3-tioh8"
4927,"不期而遇","硿仔拄著蹌仔","kong2-a4-du4-dierh6-ciang2-a4","khong7-a2-tu2-tioh8-chiang7-a2"
4928,"不期而遇","蹌拄蹌拄著","ciang2-du4-ciang2-du4-dierh6","chiang7-tu2-chiang7-tu2-tioh8"
4929,"不測","三長兩短","sann1-dng5-nng2-de4","sann1-tng5-nng7-te2"
4930,"不測","意外","i3-ghua2","i3-gua7"
4931,"不無所動","無震璺","bher5-zun3-bhun2","bo5-cun3-bun7"
4932,"不然","若無","na2-bher5","na7-bo5"
4933,"不然","無","bher5","bo5"
4934,"不然","無者","bher5-zia4","bo5-cia2"
4935,"不痛不癢","無螫皮","bher5-cierh7-pue5","bo5-chioh4-phue5"
4936,"不痛不癢","戇蚊釘神明","ghong2-bhang4-ding3-sin5-bhing5","gong7-bang2-ting3-sin5-bing5"
4937,"不稀罕","少缺","zier4-kueh7","cio2-khueh4"
4938,"不稀罕","無稀罕","bher5-hi1-han4","bo5-hi1-han2"
4939,"不結實","料小","liau2-siau4","liau7-siau2"
4940,"不善詞令","無喙水","bher5-cui3-zui4","bo5-chui3-cui2"
4941,"不舒服","毋秋凊","m2-ciu1-cin3","m7-chiu1-chin3"
4942,"不舒服","刺疫","ciah7-iah6","chiah4-iah8"
4943,"不舒服","刺鑿","ci3-cak6","chi3-chak8"
4944,"不舒服","袂清朗","bhe2-cing1-long4","be7-ching1-long2"
4945,"不舒服","無爽快","bher5-song4-kuai3","bo5-song2-khuai3"
4946,"不舒服","頭燒耳熱","tau5-sier1-hinn2-ruah6","thau5-sio1-hinn7-juah8"
4947,"不舒服","艱苦","gan1-ko4","kan1-khoo2"
4948,"不舒服","礙謔","ghai2-ghierh6","gai7-gioh8"
4949,"不著痕跡","無動無著","bher5-dang2-bher5-dierh6","bo5-tang7-bo5-tioh8"
4950,"不著邊際","有空無榫","u2-kang1-bher5-sun4","u7-khang1-bo5-sun2"
4951,"不著邊際","有綏無guann2","u2-sui1-bher5-guann2","u7-sui1-bo5-kuann7"
4952,"不著邊際","依依曰曰","i1-i1-uat6-uat6","i1-i1-uat8-uat8"
4953,"不著邊際","無空無榫","bher5-kang1-bher5-sun4","bo5-khang1-bo5-sun2"
4954,"不雅","歹相","painn4-siang3","phainn2-siang3"
4955,"不雅","歹看","painn4-kuann3","phainn2-khuann3"
4956,"不雅","歹款","painn4-kuan4","phainn2-khuan2"
4957,"不雅觀","歹看","painn4-kuann3","phainn2-khuann3"
4958,"不雅觀","歹看相","painn4-kuann3-siunn3","phainn2-khuann3-siunn3"
4959,"不順眼","逆目","geh6-bhak6","keh8-bak8"
4960,"不順眼","礙目","ghai2-bhak6","gai7-bak8"
4961,"不順眼","鑿目","cak6-bhak6","chak8-bak8"
4962,"不僅","毋但","m2-na2","m7-na7"
4963,"不嫌棄","毋甘嫌","m2-gam1-hiam5","m7-kam1-hiam5"
4964,"不嫌棄","無棄嫌","bher5-ki3-hiam5","bo5-khi3-hiam5"
4965,"不愁吃,-不愁穿","無煩惱食穿","bher5-huan5-ler4-ziah6-cing2","bo5-huan5-lo2-ciah8-ching7"
4966,"不慌不忙","勻勻仔是","un5-un5-a4-si2","un5-un5-a2-si7"
4967,"不慌不忙","無驚無惶","bher5-giann1-bher5-hiann5","bo5-kiann1-bo5-hiann5"
4968,"不慌不忙","沓沓仔是","dauh6-dauh6-a4-si2","tauh8-tauh8-a2-si7"
4969,"不會","袂","bhe2","be7"
4970,"不會","袂曉","bhe2-hiau4","be7-hiau2"
4971,"不會有結果","無了時","bher5-liau4-si5","bo5-liau2-si5"
4972,"不當一回事","放放放","bang3-hong3-hong3","pang3-hong3-hong3"
4973,"不當一回事","無下無落","bher5-he2-bher5-lerh6","bo5-he7-bo5-loh8"
4974,"不當一回事","無要無緊","bher5-iau3-bher5-gin4","bo5-iau3-bo5-kin2"
4975,"不當一回事","無震璺","bher5-zun3-bhun2","bo5-cun3-bun7"
4976,"不經之談","吐連涎","to3-len5-sen5","thoo3-lian5-sian5"
4977,"不經意","無叮無噹","bher5-din1-bher5-dang1","bo5-tin1-bo5-tang1"
4978,"不經意","無注意","bher5-zu3-i3","bo5-cu3-i3"
4979,"不經意","無張持","bher5-diunn1-di5","bo5-tiunn1-ti5"
4980,"不經意","無細膩","bher5-se3-ri2","bo5-se3-ji7"
4981,"不經意","無滴無噹","bher5-di1-bher5-dang1","bo5-ti1-bo5-tang1"
4982,"不置一詞","無話無句","bher5-ue2-bher5-gu3","bo5-ue7-bo5-ku3"
4983,"不置可否","欲假若毋","bhueh7-ga4-na4-m2","bueh4-ka2-na2-m7"
4984,"不置可否","無可無不可","bhu5-ker4-bhu5-but7-ker4","bu5-kho2-bu5-put4-kho2"
4985,"不置可否","無講欲","bher5-gong4-bhueh7","bo5-kong2-bueh4"
4986,"不置可否","也無講毋","ia2-bher5-gong4-m2","ia7-bo5-kong2-m7"
4987,"不義之財","失德錢","sit7-dik7-zinn5","sit4-tik4-cinn5"
4988,"不義之財","浮水錢","pu5-zui4-zinn5","phu5-cui2-cinn5"
4989,"不義之財","軟路錢","nng4-lo2-zinn5","nng2-loo7-cinn5"
4990,"不義之財","軟錢","nng4-zinn5","nng2-cinn5"
4991,"不義之財","無陸水錢","bhu5-liok6-sui4-zinn5","bu5-liok8-sui2-cinn5"
4992,"不義之財","無道德錢","bher5-der2-dik7-zinn5","bo5-to7-tik4-cinn5"
4993,"不義之財","僥倖錢","hiau1-hing2-zinn5","hiau1-hing7-cinn5"
4994,"不義之財","橫財","huainn5-zai5","huainn5-cai5"
4995,"不義之財留不助","僥倖錢","hiau1-hing2-zinn5","hiau1-hing7-cinn5"
4996,"不義之財留不助","失德了","sit7-dik7-liau4","sit4-tik4-liau2"
4997,"不落人後","輸人毋輸陣","su1-lang5-m2-su1-din2","su1-lang5-m7-su1-tin7"
4998,"不虞匱乏","少缺","zier4-kueh7","cio2-khueh4"
4999,"不道德","無道德","bher5-der2-dik7","bo5-to7-tik4"
5000,"不過","不而過","but7-ri5-ger3","put4-ji5-ko3"
5001,"不過","不過","but7-ger3","put4-ko3"
5002,"不過","毋閣","m2-gerh7","m7-koh4"
5003,"不過","卡輸","kah7-su1","khah4-su1"
5004,"不過","無過","bhu5-ger3","bu5-ko3"
5005,"不過如此","如此仔如此","ru5-cu4-a4-ru5-cu4","ju5-chu2-a2-ju5-chu2"
5006,"不過如此","總是按呢","zong4-si2-an3-ne1","cong2-si7-an3-ne1"
5007,"不過耳耳","花花草草","hue1-hue1-cau4-cau4","hue1-hue1-chau2-chau2"
5008,"不過意","毋過心","m2-gue3-sim1","m7-kue3-sim1"
5009,"不預期","無派胚","bher5-pai3-pe1","bo5-phai3-phe1"
5010,"不預期","無胚","bher5-pe1","bo5-phe1"
5011,"不像話","毋成樣","m2-ziann5-iunn2","m7-ciann5-iunn7"
5012,"不像樣","毋成款","m2-ziann5-kuan4","m7-ciann5-khuan2"
5013,"不像樣","毋成猴","m2-ziann5-gau5","m7-ciann5-kau5"
5014,"不像樣","毋成樣","m2-ziann5-iunn2","m7-ciann5-iunn7"
5015,"不像樣","毋是款","m2-si2-kuan4","m7-si7-khuan2"
5016,"不像樣","無成一e5款","bher5-sing5-zit6-e5-kuan4","bo5-sing5-cit8-e5-khuan2"
5017,"不像樣","無臭無韶","bher5-cau3-bher5-siau5","bo5-chau3-bo5-siau5"
5018,"不像樣","無款","bher5-kuan4","bo5-khuan2"
5019,"不像樣","無像款","bher5-ciunn2-kuan4","bo5-chiunn7-khuan2"
5020,"不像樣","無樣相","bher5-iunn2-siunn3","bo5-iunn7-siunn3"
5021,"不像樣","無親像款","bher5-cin1-ciunn2-kuan4","bo5-chin1-chiunn7-khuan2"
5022,"不圖","無扑算","bher5-pah7-sng3","bo5-phah4-sng3"
5023,"不對","毋著","m2-dierh6","m7-tioh8"
5024,"不對味","毋對同","m2-dui3-dang5","m7-tui3-tang5"
5025,"不對味","狗肉忌蔥","gau4-bhah7-gi2-cang1","kau2-bah4-ki7-chang1"
5026,"不對味","無對路","bher5-dui3-lo2","bo5-tui3-loo7"
5027,"不對勁","毋是空","m2-si2-kang1","m7-si7-khang1"
5028,"不對勁","毋是勢","m2-si2-se3","m7-si7-se3"
5029,"不對勁","無爽快","bher5-song4-kuai3","bo5-song2-khuai3"
5030,"不對勁","礙逆","ghai2-ghik6","gai7-gik8"
5031,"不對勁","礙謔","ghai2-ghierh6","gai7-gioh8"
5032,"不滿","不滿","but7-bhuan4","put4-buan2"
5033,"不滿","毋過意","m2-gue3-i3","m7-kue3-i3"
5034,"不滿足","毋消暢","m2-siau1-tiong3","m7-siau1-thiong3"
5035,"不滿足","無消暢","bher5-siau1-tiong3","bo5-siau1-thiong3"
5036,"不滿現狀","在職怨職","zai2-zit7-uan3-zit7","cai7-cit4-uan3-cit4"
5037,"不盡興","無兩無想","bher5-niu4-bher5-siunn4","bo5-niu2-bo5-siunn2"
5038,"不盡興","無兩想","bher5-niu4-siunn4","bo5-niu2-siunn2"
5039,"不端","不修","but7-siu1","put4-siu1"
5040,"不管","不管","but7-guan4","put4-kuan2"
5041,"不管","毋管","m2-guan4","m7-kuan2"
5042,"不管","無管","bher5-guan4","bo5-kuan2"
5043,"不管三七二十一","毋管三七二十一","m2-guan4-sann1-cit7-ri2-zap6-it7","m7-kuan2-sann1-chit4-ji7-cap8-it4"
5044,"不管三七二十一","毋管東西廿七八","m2-guan4-dang1-sai1-riap6-cit7-beh7","m7-kuan2-tang1-sai1-jiap8-chit4-peh4"
5045,"不管三七二十一","管伊天地幾斤重","guan4-i1-tinn1-de2-gui4-gin1-dang2","kuan2-i1-thinn1-te7-kui2-kin1-tang7"
5046,"不聞不問","無管無插","bher5-guan4-bher5-cap7","bo5-kuan2-bo5-chap4"
5047,"不認帳","呸面","pui3-bhin2","phui3-bin7"
5048,"不認識","毋捌","m2-bhat7","m7-bat4"
5049,"不說也罷","mai3講卡歸氣","mai3-gong4-kah7-gui1-ki3","mai3-kong2-khah4-kui1-khi3"
5050,"不遜","袂輸","bhe2-su1","be7-su1"
5051,"不遜於","無輸","bher5-su1","bo5-su1"
5052,"不鳴則已,-一鳴驚人","水雞跳來快","zui4-ge1-tiau3-lai5-kuai3","cui2-ke1-thiau3-lai5-khuai3"
5053,"不鳴則已,-一鳴驚人","趛來久","sim3-lai5-gu4","sim3-lai5-ku2"
5054,"不樂意","袂憖","bhe2-ghen3","be7-gian3"
5055,"不請自來","無人請","bher5-lang5-ciann4","bo5-lang5-chiann2"
5056,"不請自來","家己來","ga1-gi2-lai5","ka1-ki7-lai5"
5057,"不論","不常在","but7-ciang5-zai2","put4-chiang5-cai7"
5058,"不論","無論","bher5-lun2","bo5-lun7"
5059,"不學好","毋上教","m2-ziunn2-ga3","m7-ciunn7-ka3"
5060,"不學好","毋受教","m2-siu2-ga3","m7-siu7-ka3"
5061,"不學無術","冇蟳無膏","pann3-zim5-bher5-ger1","phann3-cim5-bo5-ko1"
5062,"不積極","無下無落","bher5-he2-bher5-lerh6","bo5-he7-bo5-loh8"
5063,"不賴","袂bhai4","bhe2-bhai4","be7-bai2"
5064,"不輸","袂輸","bhe2-su1","be7-su1"
5065,"不輸","無輸","bher5-su1","bo5-su1"
5066,"不辨忠奸","毋捌好歹人","m2-bhat7-her4-painn4-lang5","m7-bat4-ho2-phainn2-lang5"
5067,"不辨是非","搣屎毋知臭","me1-sai4-m2-zai1-cau3","me1-sai2-m7-cai1-chau3"
5068,"不辨善惡","毋知芳臭","m2-zai1-pang1-cau3","m7-cai1-phang1-chau3"
5069,"不遺餘力","有力盡量","u2-lat6-zin2-liong2","u7-lat8-cin7-liong7"
5070,"不遺餘力","做牛無惜力","zer3-ghu5-bher5-sierh7-lat6","co3-gu5-bo5-sioh4-lat8"
5071,"不醒人事","毋知人","m2-zai1-lang5","m7-cai1-lang5"
5072,"不錯","拗蠻仔","au4-bhan5-a4","au2-ban5-a2"
5073,"不錯","袂bhai4","bhe2-bhai4","be7-bai2"
5074,"不錯","無毋著","bher5-m2-dierh6","bo5-m7-tioh8"
5075,"不錯","無錯","bher5-cer3","bo5-cho3"
5076,"不銹鋼","白鐵仔","beh6-tih7-a4","peh8-thih4-a2"
5077,"不懂","毋捌","m2-bat7","m7-pat4"
5078,"不懂","袂曉","bhe2-hiau4","be7-hiau2"
5079,"不懂事","毋捌代誌","m2-bhat7-dai2-zi3","m7-bat4-tai7-ci3"
5080,"不懂裝懂","毋知假知","m2-zai1-ge4-zai1","m7-cai1-ke2-cai1"
5081,"不懂裝懂","毋捌字","m2-bat7-ri2","m7-pat4-ji7"
5082,"不懂裝懂","看告示","kuann3-ger3-si2","khuann3-ko3-si7"
5083,"不懂裝懂","毋捌字閣欲激喉管","m2-bat7-ri2-gerh7-bherh7-gik7-au5-gng4","m7-pat4-ji7-koh4-boh4-kik4-au5-kng2"
5084,"不懂裝懂","毋捌假捌","m2-bat7-ge4-bat7","m7-pat4-ke2-pat4"
5085,"不懂裝懂","未博假博","bhue2-pok7-ge4-pok7","bue7-phok4-ke2-phok4"
5086,"不懂裝懂","袂假會","bhe2-ge4-e2","be7-ke2-e7"
5087,"不懂裝懂","假ghau5假賢慧","ge4-ghau5-ge4-hen5-hui2","ke2-gau5-ke2-hian5-hui7"
5088,"不懂禮數","毋捌禮數","m2-bhat7-le4-so3","m7-bat4-le2-soo3"
5089,"不懂禮數","草地親成","cau4-de2-cin1-ziann5","chau2-te7-chin1-ciann5"
5090,"不懂禮數","食飽著行","ziah6-ba4-dierh6-giann5","ciah8-pa2-tioh8-kiann5"
5091,"不檢","欠檢點","kiam3-giam4-diam4","khiam3-kiam2-tiam2"
5092,"不檢","失檢","sit7-giam4","sit4-kiam2"
5093,"不檢","失檢點","sit7-giam4-diam4","sit4-kiam2-tiam2"
5094,"不濟事","無路用","bher5-lo2-iong2","bo5-loo7-iong7"
5095,"不聲不響","無動無著","bher5-dang2-bher5-dierh6","bo5-tang7-bo5-tioh8"
5096,"不聲不響","無講無呾","bher5-gong4-bher5-dann3","bo5-kong2-bo5-tann3"
5097,"不聲不響","默默","hmh6-hmh6","hmh8-hmh8"
5098,"不講理","毋講理","m2-gong4-li4","m7-kong2-li2"
5099,"不講理","無理氣","bher5-li4-ki3","bo5-li2-khi3"
5100,"不講理","無講理","bher5-gong4-li4","bo5-kong2-li2"
5101,"不懷好氣","無好聲嗽","bher5-her4-siann1-sau3","bo5-ho2-siann1-sau3"
5102,"不懷好氣","無好聲頭","bher5-her4-siann1-tau5","bo5-ho2-siann1-thau5"
5103,"不懷好意","存心重","cun5-sim1-dang2","chun5-sim1-tang7"
5104,"不懷好意","存歹心","cun5-painn4-sim1","chun5-phainn2-sim1"
5105,"不懷好意","無好心","bher5-her4-sim1","bo5-ho2-sim1"
5106,"不懷好意","舉刀探病牛","ghiah6-der1-tam3-benn2-ghu5","giah8-to1-tham3-penn7-gu5"
5107,"不礙事","無震璺","bher5-zun3-bhun2","bo5-cun3-bun7"
5108,"不礙事","無礙著","bher5-ghai2-dierh6","bo5-gai7-tioh8"
5109,"不穩健","無的定","bher5-dik7-diann2","bo5-tik4-tiann7"
5110,"不識之無","一字毋捌一劃","zit6-ri2-m2-bhat7-zit6-ue2","cit8-ji7-m7-bat4-cit8-ue7"
5111,"不識之無","毋捌半字","m2-bhat7-buann3-ri2","m7-bat4-puann3-ji7"
5112,"不識之無","毋捌字","m2-bhat7-ri2","m7-bat4-ji7"
5113,"不識抬舉","毋捌好人","m2-bhat7-her4-lang5","m7-bat4-ho2-lang5"
5114,"不識抬舉","毋捌好kiap7","m2-bhat7-her4-kiap7","m7-bat4-ho2-khiap4"
5115,"不識抬舉","儑目袂曉看三色","gham2-bhak6-bhe2-hiau4-kuann3-sam1-sik7","gam7-bak8-be7-hiau2-khuann3-sam1-sik4"
5116,"不識抬舉","儑目袂曉看峘低","gham2-bhak6-bhe2-hiau4-kuann3-guan5-ge2","gam7-bak8-be7-hiau2-khuann3-kuan5-ke7"
5117,"不識相","毋知好bhai4","m2-zai1-her4-bhai4","m7-cai1-ho2-bai2"
5118,"不識相","毋知芳臭","m2-zai1-pang1-cau3","m7-cai1-phang1-chau3"
5119,"不識相","目睭掰無金","bhak6-ziu1-beh7-bher5-gim1","bak8-ciu1-peh4-bo5-kim1"
5120,"不識相","儑目袂曉看三色","gham2-bhak6-bhe2-hiau4-kuann3-sam1-sik7","gam7-bak8-be7-hiau2-khuann3-sam1-sik4"
5121,"不識時務","不識時務","but7-sik7-si5-bhu2","put4-sik4-si5-bu7"
5122,"不識時務","毋知起倒","m2-zai1-ki4-der4","m7-cai1-khi2-to2"
5123,"不識時務","毋捌風勢","m2-bhat7-hong1-se3","m7-bat4-hong1-se3"
5124,"不識時務","袂曉看風勢","bhe2-hiau4-kuann3-hong1-se3","be7-hiau2-khuann3-hong1-se3"
5125,"不識時務","袂曉看勢面","bhe2-hiau4-kuann3-se3-bhin2","be7-hiau2-khuann3-se3-bin7"
5126,"不識貨","毋捌貨","m2-bhat7-hue3","m7-bat4-hue3"
5127,"不識貨","毋捌寶","m2-bhat7-ber4","m7-bat4-po2"
5128,"不識貨","真珠看做老鼠屎","zin1-zu1-kuann3-zer3-niau4-ci4-sai4","cin1-cu1-khuann3-co3-niau2-chi2-sai2"
5129,"不辭勞苦","犁頭戴鼎","le5-tau5-di3-diann4","le5-thau5-ti3-tiann2"
5130,"不辭勞苦","無嫌著磨","bher5-hiam5-dierh6-bhua5","bo5-hiam5-tioh8-bua5"
5131,"不願","毋願","m2-ghuan2","m7-guan7"
5132,"不顧一切","藏頭沕","cang3-tau5-bhi2","chang3-thau5-bi7"
5133,"不顧後果","食匏無留種","ziah6-bu5-bher5-lau5-zing4","ciah8-pu5-bo5-lau5-cing2"
5134,"不顧後果","喙食","cui3-ziah6","chui3-ciah8"
5135,"不顧後果","尻川坐數","ka1-cng1-ce2-siau3","kha1-chng1-che7-siau3"
5136,"不變價格","死豬仔價","si4-di1-a4-ge3","si2-ti1-a2-ke3"
5137,"不靈光","低路","ge2-lo2","ke7-loo7"
5138,"不靈光","飯桶","bng2-tang4","png7-thang2"
5139,"中人","中人","diong1-lang5","tiong1-lang5"
5140,"中人","公道人","gong1-der2-lang5","kong1-to7-lang5"
5141,"中人","公道伯","gong1-der2-beh7","kong1-to7-peh4"
5142,"中人","牽猴仔","kan1-gau5-a4","khan1-kau5-a2"
5143,"中分頭","破鬢梳","pua3-bin3-se1","phua3-pin3-se1"
5144,"中午","中晝","diong1-dau3","tiong1-tau3"
5145,"中午","日晝","rit6-dau3","jit8-tau3"
5146,"中心","中央","diong1-ng1","tiong1-ng1"
5147,"中古","中古","diong1-go4","tiong1-koo2"
5148,"中央","中央","diong1-ng1","tiong1-ng1"
5149,"中用","中用","diong3-iong2","tiong3-iong7"
5150,"中用","路用","lo2-iong2","loo7-iong7"
5151,"中白鷺","白鴒鷥","beh6-ling5-si1","peh8-ling5-si1"
5152,"中立","徛中","kia2-diong1","khia7-tiong1"
5153,"中共","中共","diong1-giong2","tiong1-kiong7"
5154,"中共","阿共仔","a1-giong2-a4","a1-kiong7-a2"
5155,"中地鷸","大沙鵻","dua2-sua1-zui1","tua7-sua1-cui1"
5156,"中年","半老老","buann3-ler4-lau2","puann3-lo2-lau7"
5157,"中年人","中年人","diong1-len5-lang5","tiong1-lian5-lang5"
5158,"中年喪偶","半路折扁擔","buann3-lo2-zih6-bin1-dann1","puann3-loo7-cih8-pin1-tann1"
5159,"中式料理","中國料理","diong1-gok7-liau2-li4","tiong1-kok4-liau7-li2"
5160,"中老年人","半老老","buann3-ler4-lau2","puann3-lo2-lau7"
5161,"中杜鵑","公孫","gong1-sun1","kong1-sun1"
5162,"中杜鵑","杜鵑","do2-guan1","too7-kuan1"
5163,"中邪","犯著鬼","huan2-dierh6-gui4","huan7-tioh8-kui2"
5164,"中邪","邪著","sia5-dierh6","sia5-tioh8"
5165,"中邪","鬼扑著","gui4-pah7-dierh6","kui2-phah4-tioh8"
5166,"中邪","著邪","dierh6-sia5","tioh8-sia5"
5167,"中邪","煞著","suah7-dierh6","suah4-tioh8"
5168,"中邪","衝著鬼","ciong1-dierh6-gui4","chiong1-tioh8-kui2"
5169,"中夜","中宵","diong1-siau1","tiong1-siau1"
5170,"中的","對烏","dui3-o1","tui3-oo1"
5171,"中肯","對點","dui3-diam4","tui3-tiam2"
5172,"中表","姑表","go1-biau4","koo1-piau2"
5173,"中表","姨表","i5-biau4","i5-piau2"
5174,"中南部","下港","e2-gang4","e7-kang2"
5175,"中指","中爪","diong1-riau4","tiong1-jiau2"
5176,"中指","中指","diong1-zainn4","tiong1-cainn2"
5177,"中指","中營","diong1-iann5","tiong1-iann5"
5178,"中毒","中毒","diong3-dok6","tiong3-tok8"
5179,"中毒","受毒","siu2-dok6","siu7-tok8"
5180,"中毒","著毒","dierh6-dok6","tioh8-tok8"
5181,"中流","港心","gang4-sim1","kang2-sim1"
5182,"中流砥柱","大支柱","dua2-gi1-tiau2","tua7-ki1-thiau7"
5183,"中看","合目","gah7-bhak6","kah4-bak8"
5184,"中看","會看口","e2-kuann3-kau4","e7-khuann3-khau2"
5185,"中看不中用","一丈身","zit6-dng2-sin1","cit8-tng7-sin1"
5186,"中看不中用","九尺無路用","gau4-cierh7-bher5-lo2-iong2","kau2-chioh4-bo5-loo7-iong7"
5187,"中看不中用","大箍人好看頭","dua2-ko1-lang5-her4-kuann3-tau5","tua7-khoo1-lang5-ho2-khuann3-thau5"
5188,"中看不中用","冬瓜好看無好食","dang1-gue1-her4-kuann3-bher5-her4-ziah6","tang1-kue1-ho2-khuann3-bo5-ho2-ciah8"
5189,"中看不中用","好看無好食","her4-kuann3-bher5-her4-ziah6","ho2-khuann3-bo5-ho2-ciah8"
5190,"中秋節","八月節","beh7-ghueh6-zeh7","peh4-gueh8-ceh4"
5191,"中計","中計","diong3-ge3","tiong3-ke3"
5192,"中風","一跤一手","zit6-ka1-zit6-ciu4","cit8-kha1-cit8-chiu2"
5193,"中風","中風","diong3-hong1","tiong3-hong1"
5194,"中風","著病風","dierh6-benn2-hong1","tioh8-penn7-hong1"
5195,"中風","腦充血","ciong1-het7","nau2-chiong1-hiat4"
5196,"中宵","中宵","diong1-siau1","tiong1-siau1"
5197,"中庭","中庭","diong1-ding5","tiong1-ting5"
5198,"中庭","天井","ten1-zinn4","thian1-cinn2"
5199,"中庭","深井","cim1-zenn4","chim1-cenn2"
5200,"中庭","深井埕","cim1-zenn4-diann5","chim1-cenn2-tiann5"
5201,"中庭","樓井","lau5-zenn4","lau5-cenn2"
5202,"中氣","中氣","diong1-kui3","tiong1-khui3"
5203,"中海碗","二品碗公","ri2-pin4-uann4-gong1","ji7-phin2-uann2-kong1"
5204,"中國小沙丁","竹葉un1","dik7-hierh6-un1","tik4-hioh8-un1"
5205,"中國小沙丁","青獅","cinn1-sai1","chinn1-sai1"
5206,"中國小沙丁","青鱗","cenn1-lan5","chenn1-lan5"
5207,"中國小沙丁","青鱗un1仔","cenn1-lan5-un1-a4","chenn1-lan5-un1-a2"
5208,"中國黃點鯆","飯匙","bng2-si5","png7-si5"
5209,"中國黃點鯆","魴仔魚","hang1-a4-hi5","hang1-a2-hi5"
5210,"中國黃點鯆","魴頭","hang1-tau5","hang1-thau5"
5211,"中庸","中中仔","diong1-diong1-a4","tiong1-tiong1-a2"
