"國語漢字","台語拼音","國語注釋"
"南方","lam2-hng1","又文言音（se2-hong1）。"
"後裔","ho3-e3","後世子孫。"
"後患","ho3-huan2","日後的禍害。"
"後學","ho3-hak1","讀書人的謙稱。"
"後悔","ho3-hue4","又說“反悔”（huan1-hue4）事後的懊悔。"
"後期","ho3-gi5","又口語音（au3-gi5）。"
"後果","ho3-gor4","結果。"
"後顧","ho3-go3","顧慮以後的事情。"
"後起","ho3-ki4","新長成的好人材。"
"後輩","ho3-bue3","後進的人。"
"後盾","ho3-dun4","後方的援助力量。"
"後世","ho3-se3","又口語音（au3-(se3/si3)）將來的世代。"
"後天","ho3-ten1","喻出生以後。"
"後退","ho3-tue3","退後。"
"後進","ho3-zin3","後輩。"
"後援","ho3-uan2","戰時的後方對軍事力量的援助支持，後方支援。"
"後生可畏","ho3-sing1-kor1-ui3","指後起的¹¹¹´輕一輩有了不起的表現，勝過老一輩的人。"
"皇后","hong2-ho2","皇帝之妻。"
"天后宮","ten2-ho3-giong1","“媽祖宮（廟）”（ma1-zo1-ging1-〔bhior2〕）祀奉天上聖母（媽祖）的地方。"
"後尾","au3-(bhe4/bhue4)","後、後來。又說“後尾手”（au3-(bhe1/bhue1)-ciu4）。如“後尾來做頭前”（au3-(bhe1/bhue1)-lai5-zue4-tau2-zing5）後來居上。俗諺有“後尾上船先起山”（au3-(bhe4/bhue4)-(ziunn3/zionn3)-zun5-sing2-ki1-suann1）後上船先登陸。"
"後母","au3-(bhor4/bhu4)","繼母。"
"後姥","au3-bho4","繼室、後妻。"
"後面","au3-bhin2","背面。"
"後任","au3-rim2","繼任的人。"
"後月日","au3-(gheh3/ghueh3)-rit1","下個月。"
"後日","au3-rit1","後字連音變調為低降時意為“以後的日子”，不連音變調讀中平，“日”字讀輕聲時意為“後天”。"
"後腳","au3-ka1","“腳”又作“跤”。"
"後過","au3-(ge3/gue3)","下次，又說後擺（au3-bai4）。"
"後路","au3-lo2","後面的道路。"
"後門","au3-mng5","便捷的途徑。"
"後壁","au3-biah2","背後。"
"後父〔爸〕","au3-be2","繼父。"
"後世","au3-(se3/si3)","來世，如“後出世”（au3-cut1-(se3/si3)）來生。"
"後台","au3-dai5","同「後盾」。"
"後代","au3-dai2","又音（(ho3/hior3)-dai2）後世，又音（au3-de2）。"
"後頭","au3-tau5","背後，（已婚婦女的）娘家，又叫“後頭厝”（au3-tau2-cu3）。"
"後生","hau3-(senn1/sinn1)","兒子。"
"多元","dor2-ghuan5","多種方面。"
"多疑","dor2-ghi5","疑心病重。"
"多餘","dor2-i5","剩下來的。"
"多少","dor2-siau4","問數量。"
"多謝","dor2-sia2","鄭重道謝。"
"多數","dor2-so3","超過半數以上的人數（多數決dor2-so4-guat2）。"
"多心","dor2-sim1","疑心。"
"多事","dor2-su2","多管閒事。"
"大多數","(dai3/dua3)-dor2-so3",
"多情","dor2-zing5","富於感情。"
"多多益善","dor2-dor1-ik3-sen2","越多越好。口語〈愈濟愈好ru-ze2-ru1-hor4〉。"
"愈濟愈好","ru1-ze2-ru1-hor4",
"定義","ding3-ghi2","界說。"
"定型","ding3-hing5","確定規格。"
"定婚","ding3-hun1","訂婚，又說“定親”（ding3-cin1）。"
"定貨","ding3-hue3","約定購買。"
"定價","ding3-ge3","標訂價格。"
"定居","ding3-(gi1/gu1)","固定居住。"
"定期","ding3-gi5","預定的時日。"
"定理","ding3-li4","確定的道理。"
"定律","ding3-lut1","不變的法則。"
"定步","ding3-bo2","堅實、慎重。"
"定性","ding3-sing3","心性、意志堅定。"
"定心丸","ding3-sim2-uan5","喻使情緒安定的東西。"
"定位","ding3-ui2","確定地位。"
"定篤","ding3-dauh2","牢固、堅定。又“定定”（ding3-ding2）指物體堅硬。"
"定當","ding3-dong3","確實、妥當。"
"安定","an2-ding2","，（穩定un-ding2）。"
"協定","hiap3-ding2","兩國之間為了外交問題所做妥協的條款。"
"一定","it1-ding2","不變，絕對。"
"確定","kak1-ding2","確實決定。"
"定金","diann3-gim1","定錢。"
"定去","diann2-ki0","定字讀本調中平聲，“去”讀輕聲時意為“停止了”、“停頓了”，如“心臟定去”（sim2-zong2-diann2-ki0），“錶仔定去”（bior1-a4-diann2-ki0）。“定”字連音變調，“去”讀本調低降聲，為“常常去”之意，同“定定去”（diann3-diann3-ki3）。"
"定定","diann3-diann2","常常，或僵硬、停頓狀態。“伊定定來”（i2-diann3-diann3-lai5）。“伊倒定定”（i2-dor1-diann3-diann2）他躺着不能動。"
"定着","diann3-diorh1","一定，確定。“無定着”（bhor2-diann3-diorh1）不一定。"
"定單","diann3-duann1","訂單。"
"定錢","diann3-zinn5","訂金。"
"心頭定","sim2-tau2-diann2","心意堅定。"
"行香","hing2-(hionn1/hiunn1)","去寺廟燒香。"
"行人道","hing2-rin2-dor2","人行道。"
"行軍","hing2-gun1","軍隊出動。"
"行李","hing2-li4","旅行攜帶的衣物。"
"行善","hing2-sen2","做善事。"
"行銷","hing2-siau1","流通銷售。"
"行使","hing2-su4","執行。"
"行動","hing2-dong2","行為舉動。"
"行為","hing2-ui5","舉止行動。"
"言行","ghen2-hing5","言語跟行為。"
"橫行","huainn2-hing5","旁行橫着走。"
"實行","sit3-hing5","實際的去推動執行。"
"執行","zip3-hing5","實行決定。"
"行誼／儀","hing3-ghi5","言行事蹟。"
"品行","pin1-hing2","品格跟行為。"
"道行","dor3-hing2","修練的功夫。修行（siu2-hing2）修行佛法或學道。"
"歹心毒行","painn1-sim2-dok3-hing2","壞心眼的毒辣行為。"
"行棋","giann2-gi5","下棋。"
"行氣","giann2-ki3","藥氣生效，“藥仔食了有行氣”（iorh2-a4-ziah3-liau4-u3-giann2-ki3）。"
"行腳花","giann2-ka2-hue1","踱方步。"
"行禮","giann2-le4","向人致敬。"
"行路","giann2-lo2","走路。"
"時行","si2-giann5","流行。"
"行業","hang2-ghiap1","職業。"
"行伍","hang2-ngo4","泛指軍中。"
"行會","hang2-hue2","工商業者的組織，如現在的公會。"
"行家","hang2-ga1","內行人。"
"行規","hang2-gui1","行會的規程。"
"行列","hang2-let1","隊列，行與列。"
"銀行","(ghin2/ghun2)-hang5","存放錢的機構，金融機關。"
"外行","ghua3-hang5","對某種事情沒經驗，或缺乏專門知識的人。"
"內行","lai3-hang5","富有某種經驗或學識。"
"行情","hang2-zing5","價格狀況。"
"學問","hak3-bhun2","專門知識。"
"學校","hak3-hau2","教育場所。"
"學會","hak3-hue2","學術團體，口語音為（orh3-e2），經過學習懂得…。"
"學費","hak3-hui3","又“授業料”（siu3-ghiap3-liau2）。"
"學人","hak3-rin5","做學問的學者。口音（orh1-lang0）模仿別人。"
"學期","hak3-gi5","教學期間。"
"學力","hak3-lik1","學習所到的程度。"
"學歷","hak3-lik1","求學的經歷。"
"學年","hak3-ni5","學校每一年度分幾學期的總稱。"
"學生","hak3-sing1","學校求學的人。"
"學習","hak3-sip1","求取知能的程序。"
"學說","hak3-suat2","對於學術的主張。"
"學士","hak3-su2","研求學問的讀書人，在大學院校畢業的人。"
"學術","hak3-sut1","各種學問的總稱。"
"學位","hak3-ui2","學業成就後所得的學術地位。"
"文­¸","bhun2-hak1","文藝、文章作品。"
"科學","kor2-hak1","實證式研究的學問。"
"留學","liu2-hak1","到外國求學。"
"苦學","ko1-hak1","刻苦求學。"
"大學","dai3-hak1","口語音（dua3-orh1）。高等教育的場所、學校。"
"學好","orh3-hor4","學好、學壞。"
"學講話","orh3-gong1-ue2","學習講話。"
"學駛車","orh3-sai1-cia1","學駕駛。"
"學做衫","orh3-(zor4/zue4)-sann1","學習縫製衣服。"
"學煮飯","orh3-(zu1/zi1)-bng2","學習煮飯。"
"暗學","am4-orh1","夜校。"
"關學","guainn2-orh1","（放學後）被留在學校。"
"放學","bang4-orh1","學校授業結束。"
"法案","huat1-an3","指法律案。"
"法學","huat1-hak1","有關法律的學問。"
"法文","huat1-bhun5","法國的語文。"
"法院","huat1-inn2","訴訟裁判機構。"
"法人","huat1-rin5","法律上說「非自然人」。"
"法官","huat1-guann1","司法官。"
"法規","huat1-gui1","法令規章。"
"法令","huat1-ling2","法律和命令。"
"法律","huat1-lut1","法則規律。"
"法庭","huat1-ding5","裁判場所。"
"法治","huat1-di2","依法治理。"
"法制","huat1-ze3","法律制度。"
"方法","hong2-huat2","法、辦法。"
"辦法","ban3-huat2","處理事務的方法。"
"-ghiah-無法","ghiah3-bhor2-huat2","舉不起。"
"無伊法","bhor2-i2-huat2","沒他辦法。"
"用法","iong3-huat2","使用的方法。"
"無法度","bhor2-huat1-do2","沒辦法。"
"所費","so1-hui3","費用。"
"所以","so1-i4","表示原因的結果。"
"所有","so1-iu4","又音（so1-u2），所有權（so1-iu1-kuan5）。"
"所得","so1-dik2","又音（so1-dit2），所得稅（so1-dik1-sue3）對所得徵稅。"
"所在","so1-zai2","場所、存在之處。"
"所向無敵","so1-hiong3-bhu2-dik1",
"派出所","pai4-cut1-so4","警察駐在所。"
"招待所","ziau2-tai3-so4","招待用的設施。"
"住所","zu3-so4","地址。"
"民望","bhin2-bhong2","人望。"
"民營","bhin2-ing5","由民間出資本興辦經營的事業。"
"民法","bhin2-huat2","規定民事的法律。"
"民意","bhin2-i3","國民的公意。"
"民謠","bhin2-iau5","民間相沿的歌謠。"
"民家","bhin2-ga1","一般人民的家屋。"
"民間","bhin2-gan1","人民、國民之中。"
"民權","bhin2-kuan5","國民的權利。"
"民心","bhin2-sim1","人民的心願。"
"民俗","bhin2-siok1","民間的風俗。"
"民事","bhin2-su2","公民的財產關係。"
"民選","bhin2-suan4","由國民直接或間接選舉的。"
"民智","bhin2-di3","國民的知識。"
"民政","bhin2-zing3","有關人民的一般性政事。"
"民情","bhin2-zing5","人民習性心意。"
"民眾","bhin2-ziong3","眾多的國民。"
"民族","bhin2-zok1","命運共同的族群。"
"民怨","bhin2-uan3","人民的怨恨。"
"民主","bhin2-zu4","人民做主人。“民主主義”（bhin2-zu1-zu1-ghi2）"
"愚民","ghu3-bhin5","蒙蔽玩弄人民。"
"漁民","hi2-bhin5","捕魚的人。"
"人民","rin2-bhin5","社會、國家的成員。"
"國民","gok1-bhin5","國家的成員。"
"農民","long2-bhin5","從事農業的人民。"
"得意","dik1-i3","又（dit1-i3）稱心而高興。"
"得失","dik1-sit2","義同“得罪”（dik1-zue2），“得失人”（dik1-sit1-lang5）得罪人。"
"得力","dik1-lik1","受到幫助。"
"不得已","but1-dik1-i4","不能不。"
"得勢","dik1-se3","又音（dit1-se3）處於形勢良好的地位。"
"自得","zu3-dik2","自己感到快樂。"
"獲得","hik1-dik2","抽象上得到。"
"取得","cu1-(dik2/dit2)","得到。"
"得家〔賄〕伙","dit1-ge2-(he4/hue4)","得到財產。"
"得人忝","dit1-lang2-tiann3","受人家疼愛。"
"得着","dit2-diorh0","得到。"
"會看得","e3-kuann3-dit2","可以看。"
"好得","hor1-dit2","好在，如“好得汝來”（hor1-dit1-li1-lai5）幸虧你來。"
"得道","(dit1/dik1)-dor2","成就某種功夫、事業。"
"會用得","e3-(iong2/ing2)-dit2","同“會使得”（e3-sai4-dit2）做得，行。"
"經營","ging2-ing5","籌劃作事的通稱。"
"經驗","ging2-ghiam2","親自做過。"
"經費","ging2-hui3","經常的辦事費。"
"經由","ging2-iu2","經過。"
"經過","ging2-(ge3/gue3)","通過。"
"經歷","ging2-lik1","閱歷。"
"經理","ging2-li4","經營管理。"
"經常","ging2-siong5","常常，通常。"
"經緯","ging2-ui4","地球的經度和緯度。事情的前後經過。"
"經濟","ging2-ze3","經世濟民。"
"經手","ging2-ciu4","親自辦理。"
"五經","ngo1-ging1","易、詩、書、禮、春秋等五種經書的總稱。"
"月經","ghueh3-ging1","女人的月事。"
"念經","liam3-ging1","發聲誦經文。"
"正經","zing4-ging1","反義語為“無正經”，“三八”（sam2-bat2）。"
"經網","ginn2-bhang2","織網。"
"羅經","lor2-ginn1","羅盤。"
"經腳絆手","ginn2-ka2-buann4-ciu4","纏腳纏手，喻妨礙工作、行動。"
"經蜘蛛絲","ginn2-di2-du2-si1","纏繞着蜘蛛網，喻沒清潔。"
"牽經","kan2-ginn1","測定方位。"
"十字","sip3-(ri2/li2)","“十”這個字形。"
"十字軍","sip3-ri3-gun1","基督教的軍隊。"
"十字架","sip3-ri3-ge3","“十”字形的木架。"
"十字路口","sip3-ri3-lo3-kau4","橫直兩條街道的交接處。"
"十之八九","sip3-zi2-bat1-giu4","十中的八或九，喻佔絕大部分。"
"十全十美","sip3-zuan5-sip3-bhi4","極完美。"
"十足","sip3-ziok2","又音（zap3-ziok2）滿滿的。"
"十全","sip3-zuan5","又音（zap3-zuan5）、（zap3-zng5）喻事物完美沒有缺點。"
"十五","zap3-gho2","十加五。"
"十月","zap3-(gheh1/ghueh1)",
"十分","zap3-hun1","充分。"
"十足","zap3-ziok2","十分充足頂點；“十全十足”（zap3-zng5-zap3-ziok2）。"
"十一","zap3-it2","十加一。"
"十二","zap3-(ri2/li2)","十加二。"
"十二指腸","zap3-ri3-zi1-dng5","小腸的第一段。"
"三文魚","sam2-bhun2-hi5","鮭魚罐頭。"
"三界娘仔","sam2-gai4-niu2-a4","鱘魚、喻微小。"
"三界公","sam2-gai4-gong1","天官、地官、水官之神的總稱，又叫“三官大帝”（sam2-guan2-dai3-de3）。"
"三國","sam2-gok2","東漢末年，蜀、魏、吳三國鼎立。"
"三光","sam2-gong1","指日、月、星。"
"三軍","sam2-gun1","陸軍、海軍、空軍等三種軍隊。"
"三八","sam2-bat2","不正經。"
"三寶殿","sam2-bor1-den2","佛寺正殿。"
"三不五時","sam2-but1-gho3-si5","偶爾。"
"三世因緣","sam2-se3-in2-en5",
"三心兩意","sam2-sim1-liong1-i3","猶豫不決。"
"三朝元老","sam2-diau5-ghuan2-lor4","歷仕三代皇帝的老臣。"
"不三不四","but1-sam2-but1-su3","不正經。"
"三個","sann2-e5","個體有三。"
"三角褲","sann2-gak1-ko3","內褲。"
"三月天","sann2-(gheh3/ghueh3)-tinn1","三月的天氣。"
"三更半暝","sann2-(kenn2/kinn2)-buann4-(me5/mi5)","三更半夜。"
"三輦車","sann2-len1-cia1","三輪車。"
"十三","zap3-sann1","十加三。"
"三月節","sann2-(gheh3/ghueh3)-zeh2","農曆三月三日。"
"之間","zi2-gan1","如“彼此之間”（bi2-cu4-zi2-gan1）。"
"求之不得","giu5-zi2-but1-dik2","追求也得不到。"
"之乎者也","zi2-ho2-zia4-ia0","喻半文不白的語文。"
"記者之家","gi4-zia4-zi2-ga1","新聞記者聚會的處所。"
"進行","zin4-hing5","從事某種活動。"
"進香","zin4-(hionn1/hiunn1)","遠道往聖地或名山去燒香朝拜。"
"進化","zin4-hua3","動植物為了適應天然環境而逐漸發生的變化發展。"
"進攻","zin4-gong1","向前攻擊。"
"進入","zin4-(rip1/ghip1)","到了某階段。"
"進貢","zin4-gong3","臣下送東西給皇帝。送禮物給人巴結。"
"進口","zin4-kau4","輸入外國的貨物。"
"進步","zin4-bo2","一步步前進。"
"進展","zin4-den4","向前發展。"
"進退","zin4-tue3","前進或後退。"
"進前","zin4-zing5","預先、事前。如“進前一日”（zin4-zing5-zit3-rit1）一天前。"
"進取","zin4-cu4","努力求進步。"
"前進","zen2-zin3","向前行動。"
"上進","siong3-zin3","進取，求進步。"
"着眼","diok3-ghan4","注目。"
"着手","diok3-ciu4","開始。"
"着愛","diorh3-ai3","必須、必要。"
"着目珠〔又作睭〕","diorh3-bhak3-ziu1","中了眼睛。"
"着無？","diorh1-bhor0","“着”字讀本調，（不連音變調）“無”讀輕聲，意為“對嗎？”"
"着我","diorh3-ghua4","輪到我，“着着我”中到了我。"
"着去","diorh3-ki3","得去。"
"着急","diorh3-gip2","焦急。"
"着驚","diorh3-giann1","吃驚、嚇一跳。"
"着病","diorh3-(benn2/binn2)","害病。"
"着傷","diorh3-siong1","受傷。"
"着觸","diorh3-dak2","絆倒。"
"着虫","diorh3-tang5","患虫害。"
"着吊","diorh3-diau3","上當，上鉤。"
"着頭","diorh3-tau5","方向正確。"
"看着鬼","kuann4-diorh3-gui4","見鬼，喻沒那麼回事。"
"我着是","ghua1-diorh3-si2","我就是。"
"等級","ding1-gip2","階級。"
"等待","ding1-tai2","口語音（dan1-tai2）等候，期待。"
"等等","ding1-ding4","列舉許多事例時刪略的用詞。"
"等同","ding1-dong5","同樣。"
"等因奉此","ding1-in2-hong3-cu4","喻官樣文章，例行公事。"
"優等","iu2-ding4","上等。"
"平等","bing2-ding4","相等，沒有差別。"
"等到…","dan1-gau4","等候到…。"
"等候","dan1-hau2","又音（ding1-hau2）。"
"等人","dan1-lang5","等候相約的人。"
"等車","dan1-cia1","等着搭車。"
"等路","dan1-lo2","旅遊帶回的禮物。"
"互人等","ho3-lang2-dan4","讓人家等。通常合音為（hong5-dan4）。"
"相等","sior2-dan4","互相等候。惟讀文言音（siong2-ding4）一樣。"
"部門","bo3-bhun5","組織中的單位。"
"部下","bo3-ha2","受上級指揮監督的人，泛指下級人員。"
"部分","bo3-hun2","全體中的一部。"
"部落","bo3-lok1","人民聚居的地方。"
"部長","bo3-(dionn4/diunn4)","部門主管。"
"部隊","bo3-dui2","有番號的軍隊。"
"部位","bo3-ui2","人體中的某部分。"
"內部","lai3-bo2","特定範圍內。"
"外交部","ghua3-gau2-bo2","外交機構。"
"中部","diong2-bo2","南北之間的部分。"
"二部詞典","nng3-por3-su2-den4","“二”一般作“兩”。"
"一部電影","zit3-por3-den3-iann4",
"四部冊","si4-por3-ceh2","四部書。"
"一大部經冊","zit3-dua3-por3-ging2-ceh2","一大部經書，“一部論語”（zit3-por3-lun3-(ghu4/ghi4)）。"
"度日","do3-rit1","平常過生活。"
"度過","do3-(ge3/gue3)","脫離。"
"度量","do3-liong2","寬容別人的限度。"
"度命","do3-mia2","維持生命。"
"度晬","do3-ze3","小孩滿周歲。"
"度數","do3-so3","用度計算的數目。"
"無法度","bhor2-huat1-do2","沒辦法。"
"罔度","bhong1-do2","能過就過地度日子過活。"
"家母","ga2-(bhor4/bhu4)","對人謙稱自己的母親。又說“家慈”（ga2-zu5）。"
"家務","ga2-bhu2","家庭日常的事情。"
"家業","ga2-ghiap1","一家的產業。"
"家父","ga2-hu2","對人稱自己的父親。"
"家鄉","ga2-hiong1","故鄉。"
"家教","ga2-gau3","家庭教育。"
"家計","ga2-ge3","家庭生計。"
"家己","ga2-gi2","自己。"
"家具","ga2-ku2","家用的器具。"
"家屬","ga2-siok1","同屬於一家的人。"
"家庭","ga2-ding5","家、家庭。"
"家道","ga2-dor2","家境。"
"家長","ga2-(dionn4/diunn4)","一家之主。"
"家政","ga2-zing3","家庭事務。"
"家族","ga2-zok1","一家人，同族的人。"
"家破人亡","ga2-por3-(rin5/ghin5/lin5)-bhong5","家庭破裂，家人死亡。"
"國家","gok1-ga1","國、統治機器。"
"許家","ko4-ga0","姓許的家族。"
"農家","long2-ga1","從事農業的家庭。"
"無家可歸","bhu2-ga1-kor1-gui1",
"家伙","ge2-(he4/hue4)","財產，伙又作賄，家當。"
"家婆","ge2-bor5","多管閒事。"
"家私","ge2-si1","工具，又說“家私頭仔”（ge2-si2-tau2-a4），私又作俬。"
"管家","guan1-ge1","管理家務。"
"全家","zuan2-ge1","家族全體。"
"大家","da2-ge1","夫之母，“大家”兩字又讀（dai3-ge2），為“逐個”（dak3-e5）的訛音，意為“每個人”、“大家”、“你們”。"
"家家戶戶","ge2-ge2-ho3-ho2","每個家庭。"
"一家五個","zit3-ge1-gho3-e5","一家五口，五個人的家庭。"
"電壓","den3-ap2","電位差。"
"電風","den3-hong1","電扇。"
"電火","den3-(he4/hue4)","又說“電燈”（dian3-ding1）。"
"電火柱","den3-hue1-tiau2","又說“電柱”（dian3-tiau2）電線桿。"
"電影","den3-iann4","電影館（dian3-iann1-guan4）電影院。"
"電球","den3-giu5","又說“電火珠仔”（dian3-hue1-zu2-a4）。"
"電金","den3-gim1","電鍍。"
"電鍋","den3-ue1","用電煮飯的鍋。"
"電光","den3-gng1","X光。"
"電氣","den3-ki3","有電荷存在者。"
"電纜","den3-lam4","電線，導電金屬線。"
"電鈴","den3-ling5","利用電力使鈴振動發聲。"
"電流","den3-liu5","流動的電荷。"
"電話","den3-ue2","利用電通話。"
"電冰箱","den3-bing2-(sionn1/siunn1)","利用電力冷藏食物的箱形裝置。"
"電報","den3-bor3","利用電力發送信函。"
"電錶","den3-bior4","計測電流的儀錶。"
"電波","den3-por1","在空間傳播的周期性變化的電磁場。"
"電視","den3-si2","利用無線電波傳送影像的裝置。"
"電信局","den3-sin4-giok1","電力通訊機構。"
"電線","den3-suann3","傳導電流的金屬線。"
"電台","den3-dai5","廣播電台。"
"電池","den3-di5","儲電力的裝置。"
"電着","den2-diorh0","感電。"
"電毯","den3-tan4","利用電力取暖的毯子。"
"電頭毛","den3-tau2-mng5","燙髮。"
"電梯","den3-tui1","用電力昇降的梯子。"
"電土","den3-to5","carbide1（碳化鈣），可用來點火照亮用。"
"電唱機","den3-ciunn4-gi1","電動留聲機。"
"電子","den3-zu4","electron。"
"電車","den3-cia1","利用電力推動機器行動的車。"
"發電","huat1-den2","發生電流。"
"充電","ciong2-den2","補充電荷。"
"有電","u3-den2","負有電荷存在。"
"力行","lik3-hing5","努力實踐。"
"力量","lik3-liong2","氣力、能力、勢力的通稱。"
"武力","bhu1-lik1","勇武的威力。"
"能力","ling2-lik1","本領。"
"視力","si3-lik1","看遠近的能力。"
"體力","te1-lik1","身體活動的能力。"
"電力","den3-lik1","電負荷量、動力。"
"水力","zui1-lik1","水流的力量。"
"力死","lik1-si0","疲勞致死。"
"無力","bhor2-lat1","沒力氣。"
"骨力","gut1-lat1","勤勉。"
"激力","gik1-lat1","使出力氣。"
"氣力","kui4-lat1","體力，又喻能力。又音（ki4-lik1）"
"努力","lo1-lat1","多謝，又音（(lo1/no1)-lik1），則為努力的意思。"
"食力","ziah3-lat1","受打擊嚴重，費勁兒，吃不消。"
"表裡","biau1-li4","表面和背面。"
"衫仔褲的內裡","sann2-a1-ko3-e2-lai3-li4","衣服的內層布。"
"厝裡","cu4-(lin3/ni3)","家裡。"
"如願","ru2-ghuan2","達成心願。"
"如下","ru2-ha2","像下面所說。"
"如何","ru2-hor5","怎樣。"
"如果","ru2-gor4","假若。"
"如期","ru2-gi5","照原來的日期。"
"如今","ru2-gim1","而今，現在。"
"如上","ru2-siong2","像上面所說。"
"如數","ru2-so3","按照原定數目。"
"假如","ga1-ru5","倘若，如果。"
"不如","but1-ru5","比不上。"
"水妍妍","sui1-ghen2-ghen1","很漂亮美麗。又“水噹噹”（sui1-dang2-dang1），sui4有訓用“美”。"
"水雞","sui1-(ge1/gue1)","青蛙，又說“四腳魚”（si4-ka2-hi5）。"
"水氣","sui1-kui3","（處理事情）很妥當、漂亮。"
"無水","bhor2-sui4","不漂亮。"
"山水","san2-sui4","山和水，又音（suann2-zui4）則指山裡的水。"
"水紅色","zui1-ang2-sik2","桃色、粉紅色。"
"水銀","zui1-(ghin5/ghun5)","汞。"
"水源","zui1-ghuan5","河流的起源。"
"水牛","zui1-ghu5","耕作用的牛，喜愛浸在水中。"
"水分","zui1-hun1","水的成分。"
"水餃","zui1-giau4","餃子的通稱。"
"水缸","zui1-gng1","貯水用陶質缸。"
"水庫","zui1-ko3","蓄水用建築物。"
"水管","zui1-gong4","導水流動的管子。"
"水梨","zui1-lai5","梨子。"
"水窟仔","zui1-kut1-a4","小水窪。"
"水利","zui1-li2","指疏濬水道、修築堤防等事情。"
"水螺","zui1-le5","汽笛、警笛。"
"水路","zui1-lo2","河上航路。"
"水門","zui1-mng5","調節水量的閘門。"
"水泥","zui1-ni5","又說“紅毛土”（ang2-mng2-to5）。"
"水壩","zui1-ba3","攔水的建築物。"
"水色","zui1-sik2","淺藍色。"
"水錶","zui1-bior4","自來水的計量儀器。"
"水泡","zui1-pa2","又同音的“水疱”是水痘、水疱瘡。"
"水仙花","zui1-sen2-hue1","花白有香味。"
"水池","zui1-di5","池塘。"
"水道","zui1-dor2","自來水裝置。"
"水道頭","zui1-dor3-tau5","水龍頭。"
"水桶","zui1-tang4","提水用木桶。"
"水土","zui1-to4","泛指自然環境。"
"水閘","zui1-zah1","也作水門。"
"水災","zui1-zai1","水患的災害。"
"水腫","zui1-zing4","腫脹的症狀。"
"水蒸氣","zui1-zing2-ki3","變氣體的水。"
"水槽","zui1-zor5","屋簷導水的裝置。"
"水珠","zui1-zu1","“水痘”（zui1-dau2）。皮膚出疱疹的傳染病。"
"水準","zui1-zun4","水平。"
"水粉","zui1-hun4","沾水化粧粉塊。"
"水田","zui1-can5","田裏有水，用來種水稻的田。"
"水車","zui1-cia1","運水的車輪。"
"水手","zui1-ciu4","船員。"
"雨水","ho3-zui4","下雨的水。"
"灌水","guan4-zui4","灌水，又喻偽造增加數量。"
"化驗","hua4-ghiam2","利用化學方法，將物質分解試驗。"
"化外","hua4-ghua2","沒有文化教育。"
"化學","hua4-hak1","研究物質的組織及其變化的科學。"
"化合","hua4-hap1","把兩種以上的物質結合起來，變成一種新物質。"
"化工","hua4-gang1","化學工業。"
"化名","hua4-mia5","假名字。"
"化身","hua4-sin1","佛教稱菩薩暫現於世的變幻身形。"
"化除","hua4-du5","消除。"
"化妝","hua4-zong1","使容貌美麗。"
"化裝","hua4-zong1","修飾全身形容。"
"火化","(he1/hue1)-hua3","火葬。"
"教化","gau4-hua3","教育感化。"
"消化","siau2-hua3","比喻對知識的吸收、理解跟對事物的妥善處理。"
"化豆酺","ua4-dau3-bo5","使豆豉發酵。"
"化酺〔蔭〕豉","ua4-im4-si5","義同上。"
"火化去","(he4/hue4)-hua1-ki0","火熄滅。"
"病久人強卜化去","(penn2/pinn2)-gu4-lang5-giong2-(bheh1/bhueh1)-hua1-ki0","病久幾乎要死了。"
"火噴互化","hue4-bun2-ho3-hua1","把灯火吹熄。"
"灯切化啦","ding1-cet1-hua1-la0","灯已經關掉了。"
"高壓","gor2-ap2","高度的壓力。"
"高原","gor2-ghuan5","高地上的廣大平地。"
"高見","gor2-gen3","高明遠大的見解。"
"高價","gor2-ge3","很高的價格。"
"高級","gor2-gip2","程度較高的等級。"
"高貴","gor2-gui3","高尚而尊貴。"
"高麗菜","gor2-le2-cai3","甘藍。"
"高粱","gor2-liong5","蜀黍、可釀酒。"
"高射砲","gor2-sia3-pau3","射擊飛機所用的機關砲。"
"高潮","gor2-diau5","潮汐的極高度。"
"高中","gor2-diong1","高級中學、又音（gor2-diong3）指榜上有名。"
"高度","gor2-do2","程度高。"
"山高水長","san1-gor2-sui4-diong5","喻偉大如山崇高，久遠如水長流不息。"
"高粱","gau2-liang5","高粱酒（gau2-liang2-ziu4）。金門高粱名酒。"
"高長大漢","gau2-ciang5-dua3-han3","個子高大。"
"高低","guan2-ge2","優和劣。"
"高大","guan2-dua2","又高又大。"
"山真高","suann1-zin2-guan5","山很高。"
"高度","guan2-do2","高低的程度。"
"自愛","zu3-ai3","自重、愛惜自己。"
"自滿","zu3-bhuan4","自認滿足，引申為驕傲。"
"自我","zu3-ngo4","指個人自己。"
"自言","zu3-ghen5","自己一個人說話。"
"自學","zu3-hak1","自己學習。"
"自費","zu3-hui3","由自己負擔費用。"
"自由","zu3-iu5","率行己意。"
"自然","zu3-len5","天然生成的一切，大自然（dua3-zu3-rian5）。"
"自家用","zu3-ga2-iong2","自己使用的。"
"自覺","zu3-gak2","自己能覺察到自己是怎樣的。"
"自己","zu3-gi4","指本身說。"
"自強","zu3-giong5","自己努力圖強。"
"自給","zu3-gip1","自己供給自己所需要的生活材料。"
"自來","zu3-lai5","原來，本來。"
"自立","zu3-lip1","自己維持自己，解決自己的事。"
"自白","zu3-bik1","向別人陳述自己犯罪的行為。"
